,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ASPN,0,2.288831992,0.956,0.413,0,CTHRC1+ Fb,ASPN
MDK,0,1.908406353,0.925,0.537,0,CTHRC1+ Fb,MDK
POSTN,0,1.887255995,0.961,0.532,0,CTHRC1+ Fb,POSTN
CTHRC1,0,1.999,0.995,0.624,0,CTHRC1+ Fb,CTHRC1
HTRA1,0,1.703712908,0.974,0.784,0,CTHRC1+ Fb,HTRA1
PRDX4,0,1.571923915,0.934,0.638,0,CTHRC1+ Fb,PRDX4
FN1,0,1.4373439,0.961,0.794,0,CTHRC1+ Fb,FN1
OGN,0,1.410242751,0.809,0.407,0,CTHRC1+ Fb,OGN
SPARC,0,1.409580524,1,0.949,0,CTHRC1+ Fb,SPARC
ADAM12,0,1.367773801,0.765,0.291,0,CTHRC1+ Fb,ADAM12
CSRP2,0,1.353612727,0.729,0.365,0,CTHRC1+ Fb,CSRP2
DPT,0,1.345043328,0.942,0.636,0,CTHRC1+ Fb,DPT
COL1A2,0,1.335412104,1,0.988,0,CTHRC1+ Fb,COL1A2
SFRP4,0,1.335107307,0.612,0.263,0,CTHRC1+ Fb,SFRP4
COL1A1,0,1.300703208,1,0.982,0,CTHRC1+ Fb,COL1A1
C1QTNF3,0,1.266086407,0.653,0.233,0,CTHRC1+ Fb,C1QTNF3
PPIB,0,1.256493376,0.988,0.879,0,CTHRC1+ Fb,PPIB
SPON2,0,1.229339426,0.827,0.515,0,CTHRC1+ Fb,SPON2
COL5A2,0,1.222790207,0.967,0.786,0,CTHRC1+ Fb,COL5A2
COL3A1,0,1.177275985,1,0.967,0,CTHRC1+ Fb,COL3A1
PPIC,0,1.155131469,0.932,0.695,0,CTHRC1+ Fb,PPIC
SCX,0,1.145020301,0.402,0.088,0,CTHRC1+ Fb,SCX
GOLM1,0,1.13151868,0.726,0.358,0,CTHRC1+ Fb,GOLM1
FAP,0,1.128428876,0.814,0.449,0,CTHRC1+ Fb,FAP
COPZ2,0,1.088182144,0.841,0.592,0,CTHRC1+ Fb,COPZ2
MMP23B,0,1.075547171,0.747,0.417,0,CTHRC1+ Fb,MMP23B
PPP1R14B,0,1.070792338,0.82,0.526,0,CTHRC1+ Fb,PPP1R14B
COL11A1,0,1.065582817,0.573,0.202,0,CTHRC1+ Fb,COL11A1
SFRP2,0,1.064461795,0.982,0.769,0,CTHRC1+ Fb,SFRP2
OSTC,0,1.056466842,0.889,0.69,0,CTHRC1+ Fb,OSTC
COL12A1,0,1.045096267,0.857,0.617,0,CTHRC1+ Fb,COL12A1
COMP,0,1.043936142,0.716,0.329,0,CTHRC1+ Fb,COMP
MFAP2,0,1.040061192,0.764,0.479,0,CTHRC1+ Fb,MFAP2
EDIL3,0,1.019973166,0.652,0.262,0,CTHRC1+ Fb,EDIL3
MARCKS,0,1.018113395,0.937,0.818,0,CTHRC1+ Fb,MARCKS
COL5A1,0,1.007641937,0.939,0.733,0,CTHRC1+ Fb,COL5A1
BGN,0,1.003495592,0.914,0.669,0,CTHRC1+ Fb,BGN
ARL4C,0,0.987281116,0.668,0.316,0,CTHRC1+ Fb,ARL4C
TSPAN13,0,0.97750596,0.59,0.167,0,CTHRC1+ Fb,TSPAN13
SEC61G,0,0.966762907,0.916,0.75,0,CTHRC1+ Fb,SEC61G
LGALS1,0,0.962841831,0.999,0.972,0,CTHRC1+ Fb,LGALS1
VKORC1,0,0.949995906,0.847,0.66,0,CTHRC1+ Fb,VKORC1
COL14A1,0,0.944733951,0.93,0.682,0,CTHRC1+ Fb,COL14A1
KDELR3,0,0.935200502,0.722,0.393,0,CTHRC1+ Fb,KDELR3
GXYLT2,0,0.927797984,0.683,0.339,0,CTHRC1+ Fb,GXYLT2
NREP,0,0.907694608,0.723,0.378,0,CTHRC1+ Fb,NREP
TNFRSF12A,0,0.904983131,0.709,0.395,0,CTHRC1+ Fb,TNFRSF12A
P4HA2,0,0.903515428,0.731,0.42,0,CTHRC1+ Fb,P4HA2
PTN,0,0.897832547,0.72,0.56,0,CTHRC1+ Fb,PTN
ATOX1,0,0.89773087,0.826,0.588,0,CTHRC1+ Fb,ATOX1
CERCAM,0,0.896890569,0.766,0.502,0,CTHRC1+ Fb,CERCAM
NBL1,0,0.88812176,0.852,0.667,0,CTHRC1+ Fb,NBL1
COL8A1,0,0.879350713,0.592,0.203,0,CTHRC1+ Fb,COL8A1
LRRC17,0,0.87844693,0.557,0.227,0,CTHRC1+ Fb,LRRC17
LUM,0,0.873700757,0.988,0.89,0,CTHRC1+ Fb,LUM
KDELR2,0,0.86944756,0.88,0.698,0,CTHRC1+ Fb,KDELR2
CKAP4,0,0.852626618,0.752,0.512,0,CTHRC1+ Fb,CKAP4
FTL,0,0.84921287,1,0.989,0,CTHRC1+ Fb,FTL
TGFBI,0,0.844840734,0.668,0.451,0,CTHRC1+ Fb,TGFBI
GPX8,0,0.844051537,0.759,0.5,0,CTHRC1+ Fb,GPX8
OLFML3,0,0.838628868,0.807,0.603,0,CTHRC1+ Fb,OLFML3
SDC1,0,0.835858891,0.56,0.186,0,CTHRC1+ Fb,SDC1
OST4,0,0.826030373,0.906,0.799,0,CTHRC1+ Fb,OST4
CLEC11A,0,0.824701883,0.803,0.635,0,CTHRC1+ Fb,CLEC11A
PHPT1,0,0.798829031,0.864,0.699,0,CTHRC1+ Fb,PHPT1
MGST3,0,0.792419649,0.925,0.802,0,CTHRC1+ Fb,MGST3
GJA1,0,0.788854153,0.722,0.542,0,CTHRC1+ Fb,GJA1
SSR3,0,0.785955371,0.785,0.584,0,CTHRC1+ Fb,SSR3
YIF1A,0,0.783101367,0.715,0.454,0,CTHRC1+ Fb,YIF1A
RABAC1,0,0.779612252,0.9,0.776,0,CTHRC1+ Fb,RABAC1
RARRES2,0,0.775637716,0.786,0.646,0,CTHRC1+ Fb,RARRES2
LRRC15,0,0.77052675,0.644,0.306,0,CTHRC1+ Fb,LRRC15
TUBA1A,0,0.769062355,0.819,0.721,0,CTHRC1+ Fb,TUBA1A
NME2,0,0.757943694,0.491,0.383,0,CTHRC1+ Fb,NME2
GPX7,0,0.756356396,0.614,0.291,0,CTHRC1+ Fb,GPX7
SEPTIN11,0,0.756224055,0.423,0.252,0,CTHRC1+ Fb,SEPTIN11
SULF2,0,0.754945346,0.651,0.317,0,CTHRC1+ Fb,SULF2
CRABP2,0,0.748527926,0.792,0.604,0,CTHRC1+ Fb,CRABP2
ENAH,0,0.739458522,0.724,0.49,0,CTHRC1+ Fb,ENAH
TMEM208,0,0.737260488,0.685,0.433,0,CTHRC1+ Fb,TMEM208
CD99,0,0.737107856,0.957,0.897,0,CTHRC1+ Fb,CD99
ISLR,0,0.735516612,0.705,0.534,0,CTHRC1+ Fb,ISLR
CHPF,0,0.734465176,0.633,0.366,0,CTHRC1+ Fb,CHPF
SERF2,0,0.727108869,0.99,0.954,0,CTHRC1+ Fb,SERF2
LMAN1,0,0.72489755,0.804,0.647,0,CTHRC1+ Fb,LMAN1
MYDGF,0,0.722532717,0.804,0.621,0,CTHRC1+ Fb,MYDGF
TXNL4A,0,0.71473111,0.67,0.404,0,CTHRC1+ Fb,TXNL4A
RCN3,0,0.714422786,0.783,0.606,0,CTHRC1+ Fb,RCN3
FIBIN,0,0.705802023,0.59,0.277,0,CTHRC1+ Fb,FIBIN
P4HB,0,0.701328472,0.848,0.711,0,CTHRC1+ Fb,P4HB
FABP5,0,0.699884613,0.574,0.34,0,CTHRC1+ Fb,FABP5
FKBP10,0,0.690049661,0.775,0.601,0,CTHRC1+ Fb,FKBP10
TTC3,0,0.689323196,0.818,0.676,0,CTHRC1+ Fb,TTC3
TPM1,0,0.681130261,0.824,0.658,0,CTHRC1+ Fb,TPM1
MMP11,0,0.678492344,0.384,0.179,0,CTHRC1+ Fb,MMP11
PYCR1,0,0.677855194,0.595,0.272,0,CTHRC1+ Fb,PYCR1
C1QTNF6,0,0.673255466,0.624,0.319,0,CTHRC1+ Fb,C1QTNF6
RCN1,0,0.673194839,0.745,0.58,0,CTHRC1+ Fb,RCN1
CILP2,0,0.67050896,0.307,0.075,0,CTHRC1+ Fb,CILP2
OLFML2B,0,0.670228897,0.68,0.446,0,CTHRC1+ Fb,OLFML2B
MRPS6,0,0.670218731,0.596,0.379,0,CTHRC1+ Fb,MRPS6
UQCR10,0,0.660172766,0.805,0.613,0,CTHRC1+ Fb,UQCR10
TMEM45A,0,0.655876926,0.664,0.415,0,CTHRC1+ Fb,TMEM45A
CALU,0,0.654421502,0.819,0.697,0,CTHRC1+ Fb,CALU
NRP2,0,0.654053289,0.601,0.291,0,CTHRC1+ Fb,NRP2
BASP1,0,0.653404559,0.755,0.543,0,CTHRC1+ Fb,BASP1
MMP14,0,0.644884748,0.737,0.576,0,CTHRC1+ Fb,MMP14
CCN5,2.78551920195789e-286,0.642629219,0.292,0.174,1.07E-281,CTHRC1+ Fb,CCN5
SEC61B,0,0.641842399,0.897,0.776,0,CTHRC1+ Fb,SEC61B
ITGB1,0,0.641477515,0.88,0.829,0,CTHRC1+ Fb,ITGB1
LOX,0,0.640006758,0.784,0.578,0,CTHRC1+ Fb,LOX
PRDX5,0,0.634328361,0.805,0.678,0,CTHRC1+ Fb,PRDX5
CREB3L1,0,0.632037946,0.648,0.414,0,CTHRC1+ Fb,CREB3L1
SERPINH1,0,0.627769342,0.869,0.756,0,CTHRC1+ Fb,SERPINH1
LRRN1,0,0.625162201,0.356,0.074,0,CTHRC1+ Fb,LRRN1
GALNT5,0,0.625100824,0.536,0.197,0,CTHRC1+ Fb,GALNT5
METRN,0,0.624867885,0.52,0.298,0,CTHRC1+ Fb,METRN
AEBP1,0,0.623990472,0.916,0.824,0,CTHRC1+ Fb,AEBP1
PCOLCE,0,0.623838448,0.955,0.863,0,CTHRC1+ Fb,PCOLCE
PALLD,0,0.623665526,0.728,0.577,0,CTHRC1+ Fb,PALLD
JTB,0,0.620875013,0.769,0.622,0,CTHRC1+ Fb,JTB
NT5DC2,0,0.620442197,0.567,0.265,0,CTHRC1+ Fb,NT5DC2
IGF2.1,0,0.619210296,0.113,0.021,0,CTHRC1+ Fb,IGF2.1
ARF4,0,0.613750274,0.799,0.704,0,CTHRC1+ Fb,ARF4
LGR4,0,0.612987546,0.499,0.198,0,CTHRC1+ Fb,LGR4
A1BG,0,0.609605975,0.593,0.349,0,CTHRC1+ Fb,A1BG
PLPP4,0,0.605950466,0.467,0.108,0,CTHRC1+ Fb,PLPP4
PLOD2,0,0.602130295,0.534,0.25,0,CTHRC1+ Fb,PLOD2
C9orf16,0,0.600877628,0.753,0.595,0,CTHRC1+ Fb,C9orf16
FKBP11,0,0.600436391,0.632,0.374,0,CTHRC1+ Fb,FKBP11
SSR4,0,0.598365772,0.882,0.772,0,CTHRC1+ Fb,SSR4
IKBIP,0,0.59830324,0.633,0.391,0,CTHRC1+ Fb,IKBIP
GABARAP,0,0.595920381,0.524,0.45,0,CTHRC1+ Fb,GABARAP
ANGPTL2,0,0.595446575,0.682,0.535,0,CTHRC1+ Fb,ANGPTL2
BCKDHB,0,0.588816393,0.335,0.139,0,CTHRC1+ Fb,BCKDHB
THBS2,0,0.586914557,0.823,0.696,0,CTHRC1+ Fb,THBS2
KCNMA1,0,0.586449133,0.314,0.061,0,CTHRC1+ Fb,KCNMA1
LSM7,0,0.584939864,0.768,0.588,0,CTHRC1+ Fb,LSM7
BRI3,0,0.58107058,0.8,0.679,0,CTHRC1+ Fb,BRI3
C12orf75,0,0.572457694,0.631,0.385,0,CTHRC1+ Fb,C12orf75
PDLIM2,0,0.570006653,0.778,0.634,0,CTHRC1+ Fb,PDLIM2
FKBP14,0,0.568213938,0.626,0.38,0,CTHRC1+ Fb,FKBP14
C1orf122,0,0.568148849,0.695,0.476,0,CTHRC1+ Fb,C1orf122
SPATS2L,0,0.565818234,0.758,0.574,0,CTHRC1+ Fb,SPATS2L
RRBP1,0,0.564624529,0.847,0.736,0,CTHRC1+ Fb,RRBP1
TPM2,0,0.562299578,0.835,0.574,0,CTHRC1+ Fb,TPM2
SMYD3,0,0.561660817,0.442,0.19,0,CTHRC1+ Fb,SMYD3
ATP6V0B,0,0.559559314,0.692,0.514,0,CTHRC1+ Fb,ATP6V0B
FAM114A1,0,0.555241729,0.717,0.553,0,CTHRC1+ Fb,FAM114A1
RGS3,0,0.551497062,0.55,0.296,0,CTHRC1+ Fb,RGS3
P4HA1,0,0.550397797,0.63,0.42,0,CTHRC1+ Fb,P4HA1
LINC01116,0,0.547583754,0.487,0.21,0,CTHRC1+ Fb,LINC01116
TPM4,0,0.547262221,0.883,0.762,0,CTHRC1+ Fb,TPM4
NRG1,0,0.54492186,0.368,0.076,0,CTHRC1+ Fb,NRG1
SEPT11,4.94487930800255e-47,0.544441811,0.355,0.363,1.91E-42,CTHRC1+ Fb,SEPT11
CLEC2B,0,0.542385912,0.698,0.509,0,CTHRC1+ Fb,CLEC2B
COL6A1,0,0.539740585,0.993,0.97,0,CTHRC1+ Fb,COL6A1
TMED3,0,0.539219537,0.681,0.482,0,CTHRC1+ Fb,TMED3
COX7A2,0,0.533829751,0.825,0.707,0,CTHRC1+ Fb,COX7A2
ERLEC1,0,0.533223244,0.673,0.466,0,CTHRC1+ Fb,ERLEC1
CAPZB,0,0.532805662,0.75,0.642,0,CTHRC1+ Fb,CAPZB
NDUFA4,0,0.530987452,0.89,0.787,0,CTHRC1+ Fb,NDUFA4
PLXDC2,0,0.526958375,0.636,0.403,0,CTHRC1+ Fb,PLXDC2
CPXM1,0,0.522149771,0.694,0.457,0,CTHRC1+ Fb,CPXM1
THY1,0,0.522078618,0.869,0.73,0,CTHRC1+ Fb,THY1
HMCN1,0,0.5219553,0.624,0.356,0,CTHRC1+ Fb,HMCN1
P4HA3,0,0.521715827,0.411,0.112,0,CTHRC1+ Fb,P4HA3
PDLIM7,0,0.520160859,0.573,0.322,0,CTHRC1+ Fb,PDLIM7
LGMN,0,0.519729205,0.57,0.364,0,CTHRC1+ Fb,LGMN
GSTP1,0,0.518777199,0.897,0.831,0,CTHRC1+ Fb,GSTP1
P3H4,0,0.517035865,0.551,0.273,0,CTHRC1+ Fb,P3H4
GLT8D2,0,0.513624983,0.648,0.433,0,CTHRC1+ Fb,GLT8D2
CADM1,0,0.512642511,0.406,0.146,0,CTHRC1+ Fb,CADM1
HCFC1R1,0,0.511750529,0.706,0.552,0,CTHRC1+ Fb,HCFC1R1
RALA,0,0.509724311,0.635,0.445,0,CTHRC1+ Fb,RALA
TMEM167A,0,0.508562176,0.701,0.516,0,CTHRC1+ Fb,TMEM167A
C7orf50,0,0.508208888,0.558,0.309,0,CTHRC1+ Fb,C7orf50
GNAS,0,0.506518498,0.919,0.859,0,CTHRC1+ Fb,GNAS
CTSK,0,0.505126182,0.929,0.837,0,CTHRC1+ Fb,CTSK
FOXP1,0,0.504526844,0.632,0.394,0,CTHRC1+ Fb,FOXP1
PIEZO2,0,0.502792455,0.453,0.144,0,CTHRC1+ Fb,PIEZO2
FAM229B,0,0.501546894,0.523,0.265,0,CTHRC1+ Fb,FAM229B
FKBP7,0,0.501535206,0.616,0.403,0,CTHRC1+ Fb,FKBP7
SSC5D,0,0.501291504,0.572,0.315,0,CTHRC1+ Fb,SSC5D
PPDPF,0,0.501096205,0.804,0.7,0,CTHRC1+ Fb,PPDPF
NME4,0,0.499451264,0.659,0.472,0,CTHRC1+ Fb,NME4
ATP6V0E1,0,0.498237068,0.836,0.726,0,CTHRC1+ Fb,ATP6V0E1
DYNLT1,0,0.498215737,0.662,0.454,0,CTHRC1+ Fb,DYNLT1
UQCR11,0,0.497216576,0.76,0.648,0,CTHRC1+ Fb,UQCR11
AK1,0,0.497124993,0.449,0.21,0,CTHRC1+ Fb,AK1
TUBA1C,0,0.496994132,0.652,0.462,0,CTHRC1+ Fb,TUBA1C
LOXL2,0,0.493430995,0.551,0.327,0,CTHRC1+ Fb,LOXL2
FNDC1,0,0.492795944,0.526,0.228,0,CTHRC1+ Fb,FNDC1
ACAN,0,0.492694357,0.226,0.061,0,CTHRC1+ Fb,ACAN
HDLBP,0,0.489997643,0.773,0.67,0,CTHRC1+ Fb,HDLBP
MAGED1,0,0.488167086,0.64,0.419,0,CTHRC1+ Fb,MAGED1
TMED9,0,0.483688392,0.701,0.548,0,CTHRC1+ Fb,TMED9
COL16A1,0,0.481858605,0.691,0.509,0,CTHRC1+ Fb,COL16A1
SSR2,0,0.48140068,0.796,0.726,0,CTHRC1+ Fb,SSR2
PLOD1,0,0.48053498,0.578,0.337,0,CTHRC1+ Fb,PLOD1
JPT1,0,0.478488503,0.523,0.298,0,CTHRC1+ Fb,JPT1
RBM3,0,0.478126748,0.82,0.779,0,CTHRC1+ Fb,RBM3
ANAPC11,0,0.477560931,0.732,0.571,0,CTHRC1+ Fb,ANAPC11
PDGFRL,0,0.476633184,0.75,0.497,0,CTHRC1+ Fb,PDGFRL
RAB2A,0,0.47629683,0.8,0.691,0,CTHRC1+ Fb,RAB2A
BABAM2,0,0.476067895,0.478,0.237,0,CTHRC1+ Fb,BABAM2
SULF1,0,0.475125505,0.472,0.233,0,CTHRC1+ Fb,SULF1
ISOC2,0,0.47079805,0.603,0.38,0,CTHRC1+ Fb,ISOC2
ARPC3,0,0.469566216,0.797,0.689,0,CTHRC1+ Fb,ARPC3
PLAUR,0,0.468008945,0.641,0.457,0,CTHRC1+ Fb,PLAUR
NUCB2,0,0.467102416,0.747,0.569,0,CTHRC1+ Fb,NUCB2
GUK1,0,0.466923955,0.833,0.727,0,CTHRC1+ Fb,GUK1
COX7B,0,0.466061012,0.759,0.626,0,CTHRC1+ Fb,COX7B
P3H1,0,0.466035801,0.604,0.368,0,CTHRC1+ Fb,P3H1
LINC02544,0,0.464032745,0.325,0.086,0,CTHRC1+ Fb,LINC02544
SELENOM,0,0.463547547,0.935,0.858,0,CTHRC1+ Fb,SELENOM
THBS4,0,0.462575523,0.233,0.123,0,CTHRC1+ Fb,THBS4
ADAMTS2,0,0.462253338,0.654,0.445,0,CTHRC1+ Fb,ADAMTS2
ZNF469,0,0.461589958,0.453,0.161,0,CTHRC1+ Fb,ZNF469
IFT20,0,0.459798561,0.601,0.393,0,CTHRC1+ Fb,IFT20
DNM3OS,0,0.459278757,0.527,0.27,0,CTHRC1+ Fb,DNM3OS
P3H3,0,0.458344768,0.596,0.353,0,CTHRC1+ Fb,P3H3
PSMA7,0,0.457902718,0.832,0.725,0,CTHRC1+ Fb,PSMA7
ATP5F1E,0,0.456375125,0.939,0.895,0,CTHRC1+ Fb,ATP5F1E
RAC3,0,0.454407447,0.339,0.083,0,CTHRC1+ Fb,RAC3
LRRN3,0,0.453723087,0.278,0.065,0,CTHRC1+ Fb,LRRN3
S100A16,0,0.451092234,0.661,0.467,0,CTHRC1+ Fb,S100A16
ARHGAP1,0,0.450832468,0.558,0.324,0,CTHRC1+ Fb,ARHGAP1
GALNT1,0,0.44829109,0.548,0.326,0,CTHRC1+ Fb,GALNT1
RPL22L1,1.3345252595719e-300,0.446786636,0.7,0.56,5.15E-296,CTHRC1+ Fb,RPL22L1
CNN3,0,0.441831951,0.773,0.688,0,CTHRC1+ Fb,CNN3
MYL6,0,0.440440985,0.97,0.931,0,CTHRC1+ Fb,MYL6
RNF7,0,0.438960999,0.689,0.535,0,CTHRC1+ Fb,RNF7
SEC11A,0,0.431920786,0.804,0.701,0,CTHRC1+ Fb,SEC11A
RPS27L,0,0.431712022,0.806,0.724,0,CTHRC1+ Fb,RPS27L
TTYH3,0,0.431453156,0.483,0.216,0,CTHRC1+ Fb,TTYH3
SRA1,0,0.430417038,0.532,0.31,0,CTHRC1+ Fb,SRA1
IDH2,0,0.430038709,0.492,0.246,0,CTHRC1+ Fb,IDH2
ELOB,0,0.429370491,0.876,0.801,0,CTHRC1+ Fb,ELOB
RER1,0,0.428181031,0.686,0.531,0,CTHRC1+ Fb,RER1
UQCRQ,0,0.428130514,0.792,0.668,0,CTHRC1+ Fb,UQCRQ
NDUFA6,0,0.427806349,0.656,0.488,0,CTHRC1+ Fb,NDUFA6
CNTN1,0,0.426240587,0.494,0.265,0,CTHRC1+ Fb,CNTN1
SRPRB,0,0.422845955,0.522,0.292,0,CTHRC1+ Fb,SRPRB
ECM1,0,0.422507345,0.7,0.582,0,CTHRC1+ Fb,ECM1
UCHL1,0,0.420172521,0.397,0.163,0,CTHRC1+ Fb,UCHL1
NDUFB2,0,0.418224032,0.782,0.681,0,CTHRC1+ Fb,NDUFB2
ATP6V1G1,0,0.416759304,0.764,0.668,0,CTHRC1+ Fb,ATP6V1G1
RGCC,0,0.416635374,0.534,0.342,0,CTHRC1+ Fb,RGCC
BMP1,0,0.415616995,0.609,0.391,0,CTHRC1+ Fb,BMP1
CTSA,0,0.414028966,0.618,0.442,0,CTHRC1+ Fb,CTSA
CENPP,0,0.41256966,0.321,0.107,0,CTHRC1+ Fb,CENPP
EIF4E2,0,0.412094435,0.576,0.373,0,CTHRC1+ Fb,EIF4E2
LRRC59,0,0.411034634,0.579,0.37,0,CTHRC1+ Fb,LRRC59
SERP1,0,0.410854281,0.727,0.603,0,CTHRC1+ Fb,SERP1
CALD1,0,0.407950891,0.939,0.909,0,CTHRC1+ Fb,CALD1
RTRAF,0,0.407020157,0.694,0.556,0,CTHRC1+ Fb,RTRAF
IGF1,0,0.404806704,0.439,0.287,0,CTHRC1+ Fb,IGF1
PFN2,0,0.40463112,0.456,0.227,0,CTHRC1+ Fb,PFN2
GOPC,0,0.40400532,0.573,0.394,0,CTHRC1+ Fb,GOPC
SWI5,0,0.403975281,0.509,0.296,0,CTHRC1+ Fb,SWI5
STMP1,0,0.403092396,0.65,0.49,0,CTHRC1+ Fb,STMP1
ARPC2,0,0.397978191,0.787,0.699,0,CTHRC1+ Fb,ARPC2
S100A6,0,0.396099785,1,0.992,0,CTHRC1+ Fb,S100A6
GLT8D1,0,0.395233672,0.589,0.384,0,CTHRC1+ Fb,GLT8D1
EFEMP2,0,0.394987264,0.718,0.574,0,CTHRC1+ Fb,EFEMP2
ACTB,0,0.392742335,0.974,0.959,0,CTHRC1+ Fb,ACTB
VSNL1,0,0.392544863,0.293,0.055,0,CTHRC1+ Fb,VSNL1
FSCN1,0,0.391927979,0.608,0.42,0,CTHRC1+ Fb,FSCN1
TMEM263,0,0.388176405,0.601,0.414,0,CTHRC1+ Fb,TMEM263
TMED2,0,0.388036069,0.685,0.566,0,CTHRC1+ Fb,TMED2
ATP1B1,0,0.386627997,0.342,0.142,0,CTHRC1+ Fb,ATP1B1
IGFBP3,1.82475090532933e-217,0.386568155,0.378,0.261,7.04E-213,CTHRC1+ Fb,IGFBP3
TMSB10,0,0.38589227,0.997,0.986,0,CTHRC1+ Fb,TMSB10
KDELR1,0,0.385870018,0.727,0.661,0,CTHRC1+ Fb,KDELR1
COX7A2L,0,0.385385275,0.656,0.509,0,CTHRC1+ Fb,COX7A2L
RAB31,0,0.385110276,0.601,0.435,0,CTHRC1+ Fb,RAB31
ANXA5,0,0.384629822,0.907,0.867,0,CTHRC1+ Fb,ANXA5
FIS1,0,0.383143801,0.741,0.626,0,CTHRC1+ Fb,FIS1
MAFB,2.73189581803601e-275,0.382365396,0.644,0.512,1.05E-270,CTHRC1+ Fb,MAFB
TENM3,0,0.3813444,0.373,0.112,0,CTHRC1+ Fb,TENM3
MRPL14,0,0.381035745,0.573,0.377,0,CTHRC1+ Fb,MRPL14
TSPO,0,0.380132085,0.813,0.733,0,CTHRC1+ Fb,TSPO
BAX,0,0.379873526,0.56,0.361,0,CTHRC1+ Fb,BAX
LAMP5,0,0.378695529,0.31,0.106,0,CTHRC1+ Fb,LAMP5
MED8,0,0.377991833,0.468,0.249,0,CTHRC1+ Fb,MED8
EMID1,0,0.375936924,0.368,0.211,0,CTHRC1+ Fb,EMID1
S100A11,0,0.375589361,0.951,0.909,0,CTHRC1+ Fb,S100A11
ARL1,0,0.374770612,0.656,0.504,0,CTHRC1+ Fb,ARL1
IER3IP1,0,0.373700388,0.585,0.415,0,CTHRC1+ Fb,IER3IP1
MMP2,0,0.37234687,0.905,0.796,0,CTHRC1+ Fb,MMP2
SPON1,0,0.371400992,0.624,0.401,0,CTHRC1+ Fb,SPON1
DSEL,0,0.368579992,0.514,0.326,0,CTHRC1+ Fb,DSEL
DAD1,0,0.368355602,0.804,0.735,0,CTHRC1+ Fb,DAD1
SRM,0,0.367865284,0.594,0.41,0,CTHRC1+ Fb,SRM
RUNX2,0,0.367825033,0.423,0.191,0,CTHRC1+ Fb,RUNX2
SEC13,0,0.366447439,0.573,0.372,0,CTHRC1+ Fb,SEC13
SMCO4,0,0.364203654,0.414,0.176,0,CTHRC1+ Fb,SMCO4
PSMB5,0,0.363005677,0.661,0.509,0,CTHRC1+ Fb,PSMB5
DSG2,0,0.362667355,0.27,0.057,0,CTHRC1+ Fb,DSG2
CKLF,0,0.361631488,0.504,0.296,0,CTHRC1+ Fb,CKLF
MLEC,0,0.360820581,0.595,0.435,0,CTHRC1+ Fb,MLEC
ATP5MC3,4.01873258802516e-298,0.358653803,0.776,0.68,1.55E-293,CTHRC1+ Fb,ATP5MC3
CDH11,0,0.357522999,0.683,0.545,0,CTHRC1+ Fb,CDH11
NDUFAB1,2.19166306396592e-281,0.356134607,0.65,0.498,8.45E-277,CTHRC1+ Fb,NDUFAB1
ABRACL,0,0.35464534,0.431,0.221,0,CTHRC1+ Fb,ABRACL
NDUFB11,1.00312888944902e-303,0.353199365,0.739,0.63,3.87E-299,CTHRC1+ Fb,NDUFB11
CMTM3,0,0.352407735,0.541,0.348,0,CTHRC1+ Fb,CMTM3
DGKI,0,0.351757022,0.174,0.05,0,CTHRC1+ Fb,DGKI
ARHGAP28,0,0.350632133,0.392,0.142,0,CTHRC1+ Fb,ARHGAP28
GTF2H5,9.9751284459971e-283,0.350483349,0.63,0.474,3.85E-278,CTHRC1+ Fb,GTF2H5
RAP1B,1.81445642601681e-306,0.349712898,0.71,0.612,7.00E-302,CTHRC1+ Fb,RAP1B
SERINC5,0,0.34902137,0.394,0.17,0,CTHRC1+ Fb,SERINC5
TGFB3,0,0.346280608,0.507,0.299,0,CTHRC1+ Fb,TGFB3
SH3PXD2B,0,0.344349897,0.514,0.301,0,CTHRC1+ Fb,SH3PXD2B
RHOC,0,0.343624094,0.678,0.582,0,CTHRC1+ Fb,RHOC
MRPL51,0,0.343606231,0.682,0.555,0,CTHRC1+ Fb,MRPL51
MAGED2,0,0.341241142,0.657,0.533,0,CTHRC1+ Fb,MAGED2
C4orf48,0,0.340630065,0.45,0.296,0,CTHRC1+ Fb,C4orf48
CUTA,0,0.340120784,0.691,0.594,0,CTHRC1+ Fb,CUTA
NME1,0,0.339327217,0.593,0.401,0,CTHRC1+ Fb,NME1
NAGK,0,0.338894496,0.515,0.314,0,CTHRC1+ Fb,NAGK
MICOS10,0,0.338498028,0.422,0.259,0,CTHRC1+ Fb,MICOS10
RPS26,5.20873856578688e-149,0.337407966,0.934,0.855,2.01E-144,CTHRC1+ Fb,RPS26
MICOS13,0,0.337215318,0.409,0.216,0,CTHRC1+ Fb,MICOS13
PGM1,0,0.337074367,0.442,0.226,0,CTHRC1+ Fb,PGM1
ITGA10,0,0.336863403,0.236,0.061,0,CTHRC1+ Fb,ITGA10
RPN2,0,0.336353473,0.633,0.502,0,CTHRC1+ Fb,RPN2
ETFB,3.82912559019347e-286,0.335564201,0.609,0.464,1.48E-281,CTHRC1+ Fb,ETFB
GOLT1B,0,0.334487816,0.493,0.291,0,CTHRC1+ Fb,GOLT1B
B4GALT2,0,0.331435028,0.5,0.279,0,CTHRC1+ Fb,B4GALT2
CCND2,0,0.331358348,0.412,0.238,0,CTHRC1+ Fb,CCND2
